task_id,task_size,vm_id,data_id,data_size,response_time,dttr,availability,load,profit
11,605,VM0-0-1-3,21,920.0,1.0583333333333333,0.06281407035175879,0.9994220889423079,0.8066666666666666,0.69
11,605,VM0-0-1-3,66,634.0,1.0583333333333333,0.06294076163610719,0.9994220889423079,0.8066666666666666,0.69
11,605,VM0-0-1-3,62,570.0,1.0583333333333333,0.06298449612403101,0.9994220889423079,0.8066666666666666,0.69
12,305,VM0-0-1-4,160,853.0,0.25145833333333334,0.0,0.9949868735795454,0.4066666666666667,0.69
12,305,VM0-0-1-4,14,861.0,0.25145833333333334,0.06283386752136752,0.9949868735795454,0.4066666666666667,0.69
13,713,VM0-0-1-5,199,814.0,2.051333333333333,0.06285151856017998,0.9997607372123579,0.9506666666666667,0.69
13,713,VM0-0-1-5,46,514.0,2.051333333333333,0.06303056027164686,0.9997607372123579,0.9506666666666667,0.69
14,473,VM0-0-1-6,128,919.0,0.8383333333333334,0.06281438631790745,0.9996043233143028,0.6306666666666667,0.69
15,972,VM0-0-1-7,20,569.0,0.7795000000000001,0.06298524844720498,0.9999982627805398,1.296,0.69
15,972,VM0-0-1-7,151,862.0,0.7795000000000001,0.06283351120597652,0.9999982627805398,1.296,0.69
15,972,VM0-0-1-7,188,420.0,0.7795000000000001,0.06313131313131314,0.9999982627805398,1.296,0.69
16,206,VM0-0-2-0,93,706.0,0.3933333333333333,0.06290012804097311,0.983333328125,0.27466666666666667,0.69
16,206,VM0-0-2-0,1,581.0,0.3933333333333333,0.06297637195121951,0.983333328125,0.27466666666666667,0.69
16,206,VM0-0-2-0,120,868.0,0.3933333333333333,0.06283138918345706,0.983333328125,0.27466666666666667,0.69
17,423,VM0-0-2-1,154,760.0,1.278,0.06287425149700598,0.0,0.564,0.69
17,423,VM0-0-2-1,0,836.0,1.278,0.0628430296377607,0.0,0.564,0.69
18,850,VM0-0-2-2,25,921.0,2.4166666666666665,0.06281375502008033,0.0,1.1333333333333333,0.69
19,234,VM0-0-2-3,6,975.0,0.19525,0.06279761904761905,0.0,0.312,0.69
19,234,VM0-0-2-3,152,338.0,0.19525,0.06325665859564164,0.0,0.312,0.69
19,234,VM0-0-2-3,52,989.0,0.19525,0.0627937030075188,0.0,0.312,0.69
19,234,VM0-0-2-3,183,353.0,0.19525,0.06323014018691589,0.0,0.312,0.69
20,867,VM0-0-2-4,130,480.0,1.495,0.06306306306306306,0.0,1.156,0.69
20,867,VM0-0-2-4,52,989.0,1.495,0.0627937030075188,0.0,1.156,0.69
21,921,VM0-0-2-5,168,899.0,1.585,0.06282084188911705,0.0,1.228,0.69
21,921,VM0-0-2-5,104,685.0,1.585,0.06291118421052631,0.0,1.228,0.69
22,290,VM0-0-2-6,106,995.0,0.9233333333333333,0.06279205607476634,0.0,0.38666666666666666,0.69
22,290,VM0-0-2-6,37,519.0,0.9233333333333333,0.06302609427609428,0.0,0.38666666666666666,0.69
